id,horario_id,persona_id,fecha,created_at,updated_at
50032,50001,50015,2008-09-12,2008-09-12 16:45:06 UTC,2008-09-12 16:45:06 UTC
50033,50001,50064,2008-09-12,2008-09-12 16:45:20 UTC,2008-09-12 16:45:20 UTC
50034,50001,50011,2008-09-12,2008-09-12 16:45:46 UTC,2008-09-12 16:45:46 UTC
50047,50001,50011,2008-09-16,2008-09-16 13:21:12 UTC,2008-09-16 13:21:12 UTC
50051,50001,50448,2008-09-17,2008-09-17 12:30:11 UTC,2008-09-17 12:30:11 UTC
50052,50001,50335,2008-09-17,2008-09-17 12:30:15 UTC,2008-09-17 12:30:15 UTC
50053,50001,50015,2008-09-17,2008-09-17 12:30:34 UTC,2008-09-17 12:30:34 UTC
50054,50001,50064,2008-09-17,2008-09-17 12:30:41 UTC,2008-09-17 12:30:41 UTC
50071,50001,50335,2008-09-19,2008-09-19 15:12:28 UTC,2008-09-19 15:12:28 UTC
50072,50001,50448,2008-09-19,2008-09-19 15:12:32 UTC,2008-09-19 15:12:32 UTC
50073,50001,50064,2008-09-19,2008-09-19 15:12:36 UTC,2008-09-19 15:12:36 UTC
50083,50001,50011,2008-09-23,2008-09-23 12:35:27 UTC,2008-09-23 12:35:27 UTC
50088,50001,50015,2008-09-24,2008-09-24 16:40:11 UTC,2008-09-24 16:40:11 UTC
50090,50001,50448,2008-09-24,2008-09-24 16:40:20 UTC,2008-09-24 16:40:20 UTC
50096,50001,50011,2008-09-25,2008-09-25 12:42:41 UTC,2008-09-25 12:42:41 UTC
50097,50001,50039,2008-09-25,2008-09-25 12:42:47 UTC,2008-09-25 12:42:47 UTC
50098,50001,50029,2008-09-25,2008-09-25 12:48:24 UTC,2008-09-25 12:48:24 UTC
50099,50001,50021,2008-09-25,2008-09-25 12:48:53 UTC,2008-09-25 12:48:53 UTC
50100,50001,50021,2008-09-23,2008-09-25 12:52:37 UTC,2008-09-25 12:52:37 UTC
50101,50001,50029,2008-09-23,2008-09-25 12:53:11 UTC,2008-09-25 12:53:11 UTC
50106,50001,50011,2008-09-30,2008-09-30 13:13:32 UTC,2008-09-30 13:13:32 UTC
50107,50001,50039,2008-09-30,2008-09-30 13:13:37 UTC,2008-09-30 13:13:37 UTC
50127,50001,50111,2008-10-01,2008-10-01 12:09:28 UTC,2008-10-01 12:09:28 UTC
50128,50001,50015,2008-10-01,2008-10-01 12:09:31 UTC,2008-10-01 12:09:31 UTC
50142,50001,50011,2008-10-03,2008-10-03 12:32:29 UTC,2008-10-03 12:32:29 UTC
50143,50001,50466,2008-10-03,2008-10-03 12:32:36 UTC,2008-10-03 12:32:36 UTC
50144,50001,50064,2008-10-03,2008-10-03 12:32:39 UTC,2008-10-03 12:32:39 UTC
50145,50001,50039,2008-10-02,2008-10-03 12:33:06 UTC,2008-10-03 12:33:06 UTC
50146,50001,50021,2008-10-02,2008-10-03 12:33:26 UTC,2008-10-03 12:33:26 UTC
50162,50001,50039,2008-10-07,2008-10-07 12:28:28 UTC,2008-10-07 12:28:28 UTC
